
	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10
core1	727	750	940	873	1051	981	976	906	1135	756
core2	957	1104	1015	1069	1080	1099	1151	955	906	924
core3	936	1196	1062	818	1086	885	1044	973	1172	1045
core4	944	1105	971	890	802	773	944	1111	815	830
core5	1030	878	1142	922	764	994	909	1194	861	1048
core6	895	966	754	782	1105	1148	1012	1056	972	1096
core7	1083	980	987	702	767	841	1059	1107	960	727
core8	1112	790	1015	702	1139	927	882	1053	848	737
core9	721	1115	1085	975	909	991	852	859	724	955
core10	1127	1186	779	726	1098	993	886	875	864	797


	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10
core1	753	738	875	1180	1019	950	879	1036	1134	703
core2	1172	1095	1014	1130	828	1040	1047	966	904	997
core3	820	781	1114	812	757	1086	741	1006	998	1160
core4	1068	1033	1164	1075	900	759	1029	788	1135	1063
core5	1063	989	719	773	701	1097	1096	1034	918	959
core6	1070	1066	763	899	750	750	976	917	1065	993
core7	1179	1170	737	749	716	1057	1178	961	716	772
core8	1001	807	1042	1013	983	1178	1161	1103	888	861
core9	882	712	1111	990	1176	745	732	923	1132	995
core10	966	1037	775	843	805	936	946	821	857	828


	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10
core1	954	706	845	1144	817	974	1176	857	778	790
core2	944	770	883	1132	993	946	951	829	969	961
core3	825	787	1064	1072	821	1006	800	703	768	777
core4	845	996	1155	978	1054	714	1140	923	824	1022
core5	867	753	731	1100	1186	1029	956	728	1018	1145
core6	1018	806	785	1150	1005	999	843	853	994	862
core7	764	796	1079	1126	1037	847	906	827	1057	1171
core8	794	1165	702	906	1167	1136	935	1053	884	755
core9	899	809	1082	851	1042	1040	708	1012	1185	1166
core10	1053	833	1136	1099	1122	972	779	947	1103	1113


	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10
core1	796	849	941	726	1052	1048	960	1169	899	828
core2	1108	789	858	1060	1135	1139	734	945	1184	956
core3	1122	1104	1054	956	818	905	933	745	704	760
core4	885	789	992	1150	967	992	881	931	1154	1177
core5	941	1196	819	904	760	878	1080	1179	1012	989
core6	917	1079	748	1197	1125	869	828	876	993	714
core7	891	805	717	781	701	1039	1200	967	858	1177
core8	984	832	1187	1153	723	764	1085	932	724	1049
core9	1161	704	1164	719	994	742	931	1111	743	985
core10	1117	811	1018	1135	1033	1083	866	1012	1080	920


	task1	task2	task3	task4	task5	task6	task7	task8	task9	task10
core1	724	1145	1008	966	788	835	840	1130	1023	886
core2	744	919	1126	826	1101	770	1066	951	737	862
core3	729	1194	931	1062	806	986	708	835	700	1183
core4	1045	953	990	841	975	790	791	986	739	1013
core5	1171	1038	1032	934	889	1174	1019	891	796	729
core6	821	791	898	702	827	954	1137	1025	1039	790
core7	941	1052	1148	801	813	863	811	1079	791	1011
core8	1114	1131	940	794	1119	1125	1140	1108	877	703
core9	1162	997	770	1099	942	1183	713	853	1097	1025
core10	1180	1182	1087	945	1062	1100	819	823	807	880
